Mode,N_Folds,Gross_Sharpe,Net_Sharpe_5bps,Net_Sharpe_10bps,Net_Sharpe_20bps,Net_Sharpe_full_cost_model,Avg_Daily_Turnover_pct,Avg_Holding_Period_Days,Max_Drawdown,Cumulative_Return
Baseline,21,0.5227194556443784,-1.5797347429780726,-3.675612843795868,-7.808352998619938,-10.901359588763533,99.26816284180389,1.0073723249957027,-0.9999999999994508,-0.9999999999994397
Execution-Aware,21,0.2674463818988472,0.19364244785956428,0.11983886775039049,-0.027759491646749544,-0.05811962119321369,4.086280181693332,24.472134937786024,-0.5320572795659683,-0.3076532854495324
