N_Folds,Gross_Sharpe,Net_Sharpe_5bps,Net_Sharpe_10bps,Net_Sharpe_20bps,Net_Sharpe_full_cost_model,Avg_Daily_Turnover_pct,Avg_Holding_Period_Days,Max_Drawdown,Cumulative_Return,seed_alpha,seed_alpha_code,llm_seed,mode
21.0,0.921876968951166,-1.1595076258606192,-3.2287353112714325,-7.264882971972559,-10.392144612010206,100.8034627101529,0.9920294135880713,-0.9999999999983553,-0.99999999999835,reversal,"rank(-1 * delta(close, 1))",1001,Baseline
21.0,-0.22113639929575638,-0.2736342732305163,-0.3261302003180962,-0.43110936132553274,-0.4585432134440573,3.5663658908082083,28.03974776052438,-0.8904043996014288,-0.8527899871291794,reversal,"rank(-1 * delta(close, 1))",1001,Execution-Aware
21.0,0.5920456060370368,-1.4603838453084965,-3.486496215647669,-7.354028809106171,-9.97704563319535,91.55597003562698,1.0922280650959977,-0.9999999999869729,-0.999999999986874,reversal,"rank(-1 * delta(close, 1))",2002,Baseline
21.0,0.12017118648889816,0.06195602237533749,0.003734172573572911,-0.11271753693972124,-0.1519719005768449,4.0020611005357924,24.9871247559444,-0.7192476845281928,-0.5712556028778317,reversal,"rank(-1 * delta(close, 1))",2002,Execution-Aware
21.0,0.7905716011287127,-0.9924316872117186,-2.7592175488674786,-6.149974361974814,-8.841435367216834,84.5577965523992,1.1826230587504902,-0.9999999999205201,-0.9999999999214866,reversal,"rank(-1 * delta(close, 1))",3003,Baseline
21.0,-0.19294873244315738,-0.26461353750309524,-0.33626586125707975,-0.47951455367335405,-0.528367961564685,5.0749890254170404,19.704476108060636,-0.9208801461619943,-0.896387080565703,reversal,"rank(-1 * delta(close, 1))",3003,Execution-Aware
21.0,0.7421104436872155,-1.7856865819090117,-4.3006320486658565,-9.226948595683023,-12.63506918866976,104.45824492717857,0.9573203155932156,-0.9999999999997677,-0.9999999999997605,volume,"rank(-1 * zscore(volume, 20))",1001,Baseline
21.0,0.10020657897746436,0.02115307907787751,-0.05789412986261339,-0.21595632504710252,-0.2702960261868904,4.154191530405687,24.072072572502275,-0.682277950659308,-0.5999666610666969,volume,"rank(-1 * zscore(volume, 20))",1001,Execution-Aware
21.0,0.6006991687894754,-1.4595508168206484,-3.4983420515200216,-7.439974392610928,-10.169279968977714,98.55335078069484,1.0146788435689447,-0.9999999999984784,-0.9999999999984032,volume,"rank(-1 * zscore(volume, 20))",2002,Baseline
21.0,-0.06916204900136005,-0.14732938691205313,-0.22548688123434205,-0.3817564973816382,-0.4233100997457269,4.110586332139276,24.32742969491579,-0.7546359888353691,-0.7369657506293825,volume,"rank(-1 * zscore(volume, 20))",2002,Execution-Aware
