Mode,N_Folds,Gross_Sharpe,Net_Sharpe_5bps,Net_Sharpe_10bps,Net_Sharpe_20bps,Net_Sharpe_full_cost_model,Avg_Daily_Turnover_pct,Avg_Holding_Period_Days,Max_Drawdown,Cumulative_Return
Baseline,21,0.8177395534521396,-0.2500225059256004,-1.31370760963755,-3.3880202475202847,-4.80237579501271,48.685500613179194,2.053999624950553,-0.9999946637965268,-0.9999941507043588
Execution-Aware,21,0.5934294850211177,0.5642829496711719,0.5351324085454997,0.4768209664976452,0.4490991222844853,1.5239651205035745,65.61829969373335,-0.25335788959216987,1.8388319126082115
